ID,名称,分类,组成药材及剂量,冲泡方法,核心功效,适应体质/证型,适用人群,饮用疗程,禁忌说明
165,金荞麦解毒茶,清热解毒茶,金荞麦15克、鱼腥草6克,沸水冲泡或水煎,清热解毒,湿热体质,肺痈吐脓者,7-10天,脾胃虚寒者慎用
166,丁香温中茶,温中散寒茶,丁香3克、柿蒂5克,沸水冲泡10分钟,温中散寒,脾胃虚寒,呃逆呕吐者,3-5天,阴虚火旺者禁用
167,萹蓄清热茶,清热泻火茶,萹蓄10克、栀子6克,沸水冲泡或水煎,清热泻火,湿热体质,湿热黄疸者,5-7天,脾虚无湿者慎用
168,首乌藤安神茶,养心安神茶,首乌藤15克、酸枣仁10克,沸水冲泡或水煎,养心安神,阴虚体质,虚烦失眠者,7-14天,阳虚体质者慎用
169,拳参解毒茶,清热解毒茶,拳参10克、蒲公英6克,沸水冲泡或水煎,清热解毒,湿热体质,痢疾腹泻者,3-5天,脾胃虚寒者慎用
170,小茴香温中茶,温中散寒茶,小茴香3克、生姜3片,沸水冲泡10分钟,温中散寒,脾胃虚寒,寒疝腹痛者,3-5天,阴虚火旺者禁用
171,萹蓄利水茶,祛湿消肿茶,萹蓄10克、木通6克,沸水冲泡或水煎,祛湿消肿,湿热体质,湿热淋证者,5-7天,肾虚无湿者慎用
172,灵芝安神茶,养心安神茶,灵芝片6克、甘草3克,沸水冲泡或水煎,养心安神,阴虚体质,心神不安者,7-14天,外感发热者慎用
173,白蔹解毒茶,清热解毒茶,白蔹10克、金银花6克,沸水冲泡或水煎,清热解毒,风热表证,痈肿疮毒者,3-5天,脾胃虚寒者慎用
174,高良姜温中茶,温中散寒茶,高良姜5克、香附3克,沸水冲泡10分钟,温中散寒,脾胃虚寒,胃寒冷痛者,3-5天,阴虚火旺者禁用
175,萹蓄通淋茶,祛湿消肿茶,萹蓄10克、车前子6克,沸水冲泡或水煎,祛湿消肿,湿热体质,小便不利者,5-7天,肾虚无湿者慎用
176,合欢皮解郁茶,疏肝解郁茶,合欢皮10克、柴胡6克,沸水冲泡或水煎,疏肝解郁,肝气郁结,情志抑郁者,1-2周,孕妇慎用
177,马齿苋清热茶,清热解毒茶,马齿苋15克、地锦草6克,沸水冲泡或水煎,清热解毒,湿热体质,痢疾腹泻者,3-5天,脾胃虚寒者慎用
178,荜茇温中茶,温中散寒茶,荜茇3克、干姜2克,沸水冲泡10分钟,温中散寒,脾胃虚寒,胃寒冷痛者,3-5天,阴虚火旺者禁用
179,萹蓄利尿茶,祛湿消肿茶,萹蓄10克、瞿麦6克,沸水冲泡或水煎,祛湿消肿,湿热体质,热淋涩痛者,5-7天,肾虚无湿者慎用
180,朱砂安神茶,养心安神茶,朱砂0.3克、黄连3克,冲服,养心安神,阴虚体质,心火亢盛者,3-5天,孕妇禁用
181,土茯苓解毒茶,清热解毒茶,土茯苓15克、金银花6克,沸水冲泡或水煎,清热解毒,湿热体质,湿热疮毒者,7-10天,脾胃虚寒者慎用
182,胡椒温中茶,温中散寒茶,白胡椒3克、生姜3片,沸水冲泡10分钟,温中散寒,脾胃虚寒,胃寒呕吐者,3-5天,阴虚火旺者禁用
183,萹蓄清热茶,清热泻火茶,萹蓄10克、木通6克,沸水冲泡或水煎,清热泻火,湿热体质,湿热淋证者,5-7天,肾虚无湿者慎用
184,磁石安神茶,养心安神茶,磁石15克、朱砂0.3克,水煎代茶,养心安神,阴虚体质,镇惊安神者,7-14天,脾胃虚弱者慎用
185,熊胆解毒茶,清热解毒茶,熊胆粉0.3克、甘草3克,冲服,清热解毒,阳虚体质,热毒疮疡者,3-5天,脾胃虚寒者慎用
186,荜澄茄温中茶,温中散寒茶,荜澄茄3克、高良姜5克,沸水冲泡10分钟,温中散寒,脾胃虚寒,胃寒冷痛者,3-5天,阴虚火旺者禁用
187,萹蓄利水茶,祛湿消肿茶,萹蓄10克、车前子6克,沸水冲泡或水煎,祛湿消肿,湿热体质,小便不利者,5-7天,肾虚无湿者慎用
188,琥珀安神茶,养心安神茶,琥珀粉1克、朱砂0.3克,冲服,养心安神,阴虚体质,镇惊安神者,3-5天,孕妇禁用
189,千里光解毒茶,清热解毒茶,千里光15克、金银花6克,沸水冲泡或水煎,清热解毒,风热表证,眼疾疮疡者,5-7天,脾胃虚寒者慎用
190,红豆蔻温中茶,温中散寒茶,红豆蔻3克、干姜2克,沸水冲泡10分钟,温中散寒,脾胃虚寒,胃寒冷痛者,3-5天,阴虚火旺者禁用
191,萹蓄通淋茶,祛湿消肿茶,萹蓄10克、瞿麦6克,沸水冲泡或水煎,祛湿消肿,湿热体质,热淋涩痛者,5-7天,肾虚无湿者慎用
192,龙骨安神茶,养心安神茶,龙骨15克、牡蛎10克,水煎代茶,养心安神,阴虚体质,镇惊安神者,7-14天,外感发热者慎用
193,四季青解毒茶,清热解毒茶,四季青15克、蒲公英6克,沸水冲泡或水煎,清热解毒,湿热体质,痈肿疮毒者,5-7天,脾胃虚寒者慎用
194,草豆蔻温中茶,温中散寒茶,草豆蔻3克、陈皮5克,沸水冲泡10分钟,温中散寒,脾胃虚寒,脘腹冷痛者,3-5天,阴虚火旺者禁用
195,萹蓄清热茶,清热泻火茶,萹蓄10克、栀子6克,沸水冲泡或水煎,清热泻火,湿热体质,湿热黄疸者,5-7天,脾虚无湿者慎用
196,牡蛎安神茶,养心安神茶,牡蛎15克、龙骨10克,水煎代茶,养心安神,阴虚体质,镇惊安神者,7-14天,外感发热者慎用
197,白鲜皮解毒茶,清热解毒茶,白鲜皮10克、地肤子6克,沸水冲泡或水煎,清热解毒,湿热体质,湿疹疮疡者,7-10天,脾胃虚寒者慎用
198,草果温中茶,温中散寒茶,草果3克、生姜3片,沸水冲泡10分钟,温中散寒,脾胃虚寒,寒湿疟疾者,3-5天,阴虚火旺者禁用
199,萹蓄利尿茶,祛湿消肿茶,萹蓄10克、木通6克,沸水冲泡或水煎,祛湿消肿,湿热体质,湿热淋证者,5-7天,肾虚无湿者慎用
200,珍珠母安神茶,养心安神茶,珍珠母15克、钩藤10克,水煎代茶,养心安神,阴虚体质,肝阳上亢者,7-14天,脾胃虚弱者慎用
